idx,price,beds,bath,sqft,lot_size,address,lat,long
50,50,895000.0,3.0,3.0,1630.0,,"3620 Indiana St Apt 104, San Diego, CA 92103",32.7437179,-117.1465363
51,51,5880000.0,5.0,6.5,4673.0,0.74,"7585 Hillside Dr, La Jolla, CA 92037",32.8453218,-117.2565429
52,52,749900.0,3.0,2.0,1120.0,7700.0,"12624 Parish Rd, San Diego, CA 92128",33.0172194,-117.0585142
53,53,749000.0,,,,0.48,"Tompkins St Unit 1-4, San Diego, CA 92102",32.7069135,-117.1187922
54,54,995000.0,2.0,2.0,1032.0,2500.0,"4323 Asher St, San Diego, CA 92110",32.7775331,-117.2052782
55,55,755000.0,3.0,2.0,988.0,4611.0,"619 S 30th St, San Diego, CA 92113",32.699723,-117.1293017
56,56,10900000.0,4.0,4.0,3290.0,,"708 702 Whiting Ct, San Diego, CA 92109",32.7881841,-117.2544991
57,57,669000.0,3.0,2.0,1368.0,9500.0,"642 San Vicente Ct, San Diego, CA 92114",32.7102776,-117.0338248
58,58,800000.0,2.0,2.0,944.0,,"12557 Ruette Alliante Unit 179, San Diego, CA 92130",32.944614,-117.2346893
59,59,580000.0,3.0,2.0,1040.0,20.03,"17123 W Bernardo Dr Unit 202, San Diego, CA 92127",33.0265196,-117.0808719
60,60,949000.0,5.0,3.0,2872.0,6984.0,"5038 Cove View Pl, San Diego, CA 92154",32.5762972,-117.0250426
61,61,639000.0,3.0,2.0,1322.0,5663.0,"368 Winewood St, San Diego, CA 92114",32.7088294,-117.0428825
62,62,669000.0,2.0,2.0,864.0,,"12530 Carmel Creek Rd Unit 143, San Diego, CA 92130",32.9441382,-117.2310592
63,63,781000.0,4.0,2.0,1632.0,5200.0,"1881 E Westinghouse St, San Diego, CA 92111",32.7787872,-117.1674434
64,64,600000.0,2.0,1.0,788.0,3162.0,"3946 Division St, San Diego, CA 92113",32.6833763,-117.108114
65,65,500000.0,3.0,2.0,786.0,3311.0,"712 S 47th St, San Diego, CA 92113",32.6983411,-117.0940029
66,66,575000.0,2.0,2.0,945.0,,"3625 Ash St Unit 10, San Diego, CA 92105",32.7193556,-117.1154996
67,67,2249000.0,5.0,5.5,3720.0,6136.0,"10453 Rosedust Glen Dr, San Diego, CA 92127",33.0316789,-117.1116531
68,68,1790000.0,4.0,3.0,1919.0,7500.0,"1906 Willow St, San Diego, CA 92106",32.733136,-117.2267556
69,69,455000.0,1.0,1.0,695.0,,"777 6th Ave Unit 412, San Diego, CA 92101",32.7132799,-117.1588271
70,70,1550000.0,2.0,2.0,1441.0,,"510 1st Ave Unit 904, San Diego, CA 92101",32.7269669,-117.1647094
71,71,1299000.0,4.0,2.0,1768.0,,"11415 Tribuna Ave, San Diego, CA 92131",32.9046612,-117.0877055
72,72,10900000.0,,,3290.0,1306.0,"708 702 Whiting, San Diego, CA 92109",32.7881841,-117.2544991
73,73,945000.0,4.0,2.0,1627.0,,"11184 Calle Dario, San Diego, CA 92126",32.9250704,-117.1475922
74,74,5800000.0,6.0,6.5,6766.0,1.11,"8083 La Jolla Scenic Dr N, La Jolla, CA 92037",32.8527978,-117.2392728
75,75,999900.0,3.0,2.0,1719.0,0.26,"7797 Eagle Ridge Dr, San Diego, CA 92119",32.8032531,-117.0286981
76,76,920000.0,2.0,2.0,1786.0,8212.0,"12687 Camino Vuelo, San Diego, CA 92128",33.0383383,-117.057112
77,77,5495000.0,4.0,3.5,3327.0,8106.0,"6204 Beaumont Ave, La Jolla, CA 92037",32.8236529,-117.2741101
78,78,899000.0,3.0,2.0,1766.0,7003.0,"3145 K St, San Diego, CA 92102",32.7083088,-117.1264523
79,79,2996000.0,4.0,3.5,2718.0,5400.0,"9535 Poole St, La Jolla, CA 92037",32.8732084,-117.2443254
80,80,750000.0,3.0,2.0,1384.0,7012.0,"4506 Alabama St Apt 1, San Diego, CA 92116",32.7595608,-117.1429064
81,81,5800000.0,5.0,5.5,5790.0,,"1011 Avenida Amantea, La Jolla, CA 92037",32.8179904,-117.2632485
82,82,2300000.0,4.0,3.5,4261.0,0.28,"7403 LA Mantanza, San Diego, CA 92127",32.9859229,-117.1663865
